CURRENT CONGREGATION,ORIGINAL CONGREGATION,FULL ADDRESS,ZIP CODE,YEAR ORIGINAL BUILDING COMPLETED,CIRCA/PRE/POST,ORIGINAL ARCHITECT,Phila Register (Ind),Phila Register (District),National Register (Ind),National Register (District),NHL,HABS,DATE SOURCE,ARCHITECT SOURCE,CITY COUNCIL,PLANNING DISTRICT,SINGLE BUILDING/COMPLEX,ORIGINAL FAITH,CURRENT FAITH,ADD1,ADD1YR,ADD1ARCH,ADD2,ADD2YR,ADD2ARCH,ADD3,ADD3YR,ADD3ARCH,ARTISANS,EXTMAT1,EXTMAT2,NOTES,DEMOLITION PERMITS (SINCE 2006),CENSUS OF STAINED GLASS,COVENANT ON FILE,COOPERMAN INVENTORY,CHANGE IN FAITH/DENOMINATION,TAX PARCEL #,AKA ADDRESS,OWNER1,OWNER2,CENSUS,Geocode Address,FOR SALE/SOLD/CLOSED/VACANT,UNSAFE/IMM.DANG.,Icon
ENON BAPTIST CHURCH,WEST GREEN STREET CHURCH/ALEXANDER PRESBYTERIAN CHURCH (RENAMED WGSC C. 1893),1831 GREEN STREET,19130,1865,CIRCA,UNKNOWN,NO,SPRING GARDEN,NO,SPRING GARDEN,NO,NO,PRESBYTERIAN CHURCH IN PHILADELPHIA (WHITE & SCOTT),,5,CENTRAL,,PRESBYTERIAN,BAPTIST,,,,,,,,,,,MARBLE,,,,NO,NO,NO,YES,772144000,,ENONE BAPTIST CHURCH,,134,"1831  GREEN STREET Philadelphia, PA",,,small_green
NEZINER COURT CONDOMINIUMS,THIRD BAPTIST CHURCH,771-775 S. 2ND STREET,19147,,,,YES,NO,NO,NO,NO,NO,,,1,CENTRAL,,BAPTIST,ADAPTIVE REUSE,,,,,,,,,,,,,,,NO,NO,NO,YES,UNITS LISTED SEPARATELY,,,,,"771 S. 2ND STREET Philadelphia, PA",,,small_green
ADVOCATE-SAINT STEPHEN'S UNITED METHODIST CHURCH,SAINT STEPHEN'S METHODIST EPISCOPAL CHURCH,5209-5213 GERMANTOWN AVENUE,19144,1869,,LOCKMAN,YES,NO,NO,COLONIAL GERMANTOWN,NO,YES,PCHP,PCHP,8,UPPER NORTHWEST,,METHODIST,METHODIST,,,,,,,,,,,SCHIST,,,,YES,NO,NO,NO,776167000,,ST STEPHENS CHURCH,OF GERMANTOWN,245,"5209  GERMANTOWN AVENUE Philadelphia, PA",,,small_green
ARCH STREET PRESBYTERIAN CHURCH,WEST ARCH STREET PRESBYTERIAN CHURCH,1726-1732 ARCH STREET,19103,1855,,JOSEPH C. HOXIE,YES,NO,YES,NO,NO,NO,MOSS,MOSS,5,CENTRAL,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,STUCCO,STONE,,,NO,NO,NO,NO,772051000,1745 CUTHBERT ST; 51-99 N. 18TH ST,WEST ARCH ST,PRESBYTERIAN CHURCH,4,"1726  ARCH STREET Philadelphia, PA",,,small_green
CAMPBELL AFRICAN METHODIST EPISCOPAL CHURCH,BISHOP CAMPBELL CHAPEL? SECOND AFRICAN METHODIST EPISCOPAL CHURCH?,1651 KINSEY STREET,19124,1870,,UNKNOWN,YES,NO,INELIGIBLE,NO,NO,NO,PHC; COOPERMAN,N/A,7,LOWER NORTHEAST,,AFRICAN METHODIST EPISCOPAL,AFRICAN METHODIST EPISCOPAL,,,,,,,,,,,STUCCO,,,,NO,NO,YES,NO,778200000,,AFRICAN M E CHURCH,,294,"1651  KINSEY STREET Philadelphia, PA",,,small_green
CHRIST COMMUNITY BAPTIST CHURCH,TIKVAS ISRAEL CONGREGATION,1224-1228 N. 41ST STREET,19104,1922,,HERMAN H. KLINE,NO,PARKSIDE,NO,NO,NO,NO,PCHP,NO PAB,3,WEST,,JUDAISM,BAPTIST,,,,,,,,,,,BRICK,,,,NO,NO,NO,YES,774368000,,CHRIST COMMUNITY,BAPTIST CHURCH,110,"1224 N. 41ST STREET Philadelphia, PA",,,small_green
RUSSIAN ORTHODOX CHURCH OF OUR LADY,ALLIANCE TABERNACLE (1942 LAND USE MAP); CHRISTIAN ALLIANCE (1910 ATLAS),560 N. 20TH STREET,19130,1895,PRE,,NO,SPRING GARDEN,NO,SPRING GARDEN,NO,NO,PHILAGEOHISTORY,,5,CENTRAL,,,RUSSIAN ORTHODOX,,,,,,,,,,,,,,,NO,NO,NO,,772297000,,RUSSIAN ORTHODOX,CHURCH OUR LADY JOY OF,134,"560 N. 20TH STREET Philadelphia, PA",,,small_green
CHURCH OF SAINT MARTIN-IN-THE-FIELDS,CHURCH OF SAINT MARTIN-IN-THE-FIELDS,401 W. WILLOW GROVE AVENUE,19118,1889,,GEORGE W. HEWITT & WILLIAM D. HEWITT,YES,NO,NO,CHESTNUT HILL,NO,NO,MOSS,MOSS,8,UPPER NORTHWEST,,EPISCOPAL,EPISCOPAL,BAPTISTRY,1899,"THEOPHILUS P. CHANDLER, JR.",CHANCEL EXTENSION,1901,UNKNOWN,,,,"SAMUEL YELLIN; BURLINSON & GRYLLS; WILBUR HERBERT BURNHAM; MARJORIE E. DRAYTON; HEATON, BUTLER & BAYNE; HENRY HOLIDAY; TIFFANY STUDIOS; WILLET STUDIOS",SCHIST,,"RESTORED BY KISE, STRAW & KOLODNER IN 2000",,YES,NO,NO,NO,775342000,8020 ST. MARTIN'S LANE,ST MARTINS IN THE,FIELD,231,"401 W. WILLOW GROVE AVENUE Philadelphia, PA",,,small_green
LUTHERAN CHURCH OF THE HOLY COMMUNION,SAINT PAUL'S REFORMED EPISCOPAL CHURCH,2108-2114 CHESTNUT STREET,19103,1880,,ISAAC PURSELL,NO,RITTENHOUSE FITLER,NO,NO,NO,NO,MOSS,MOSS,2,CENTRAL,,EPISCOPAL,LUTHERAN,"SECOND FLOOR GALLERY REMOVED; BROAD STREET CHURCH FITTINGS INSTALLED (INCLUDING PULPIT, BAPTISML FONT, ETC.)",1903,UNKNOWN,,,,,,,,LIMESTONE,,LUTHERAN CHURCH OF THE HOLY COMMUNION PURCHASED THE PROPERTY IN 1903 (MOSS 206),,YES,NO,NO,YES,772101000,101-121 S. VAN PELT STREET,EVANGELICAL LUTHERAN,CHURCH OF HOLY,7,"2108  CHESTNUT STREET Philadelphia, PA",,,small_green
FAMILY INSITUTE OF PHILADELPHIA,BETHANY MISSION,1527 BRANDYWINE STREET,19130,1887,CIRCA,UNKNOWN,NO,SPRING GARDEN,NO,NO,NO,NO,COOPERMAN,N/A,5,CENTRAL,,,ADAPTIVE REUSE,,,,,,,,,,,,,,,NO,NO,YES,,884549520,,1515 BRANDWYINE LLC,,133,"1527  BRANDYWINE STREET Philadelphia, PA",,,small_green
UNITED FOR CHRIST MINISTRIES,WELSH PRESBYTERIAN CHURCH; FAIRMOUNT STATION POST OFFICE? (1895 ATLAS-SAME FOOTPRINT AS 1910 CHURCH),626-630 N. 21ST STREET,19130,1920,CIRCA,,NO,SPRING GARDEN,NO,NO,NO,NO,OPA,,5,CENTRAL,,PRESBYTERIAN,PENTECOSTAL,,,,,,,,,,,,,,,NO,NO,NO,YES,882934840,,UNITED FOR CHRIST MINISTR,,134,"626 N. 21ST STREET Philadelphia, PA",,,small_green
FIRST PRESBYTERIAN CHURCH OF KENSINGTON,FIRST PRESBYTERIAN CHURCH OF KENSINGTON,410-422 E. GIRARD AVENUE,19125,1857,,SAMUEL SLOAN,YES,NO,NO,NO,NO,NO,PAB,PAB,5,RIVER WARDS,COMPLEX,PRESBYTERIAN,PRESBYTERIAN - PC(USA),"TWO ADJACENT BUILDINGS PURCHASED, USED AS STORE/DWELLING RENTAL PROPERTY; REPLACED IN 1894",1883,UNKNOWN,"CLASSROOM BUILDING (""ANNEX"")",1884,UNKNOWN,STEEPLE REPLACED WITH DOME,1921,UNKNOWN,,BROWNSTONE,,,,NO,NO,NO,NO,777186000,,FIRST PRESBYTERIAN,CHURCH OF KENSINGTON,143,"410 E. GIRARD AVENUE Philadelphia, PA",,,small_green
"FORMER SAINT PETER'S EPISCOPAL CHURCH, GERMANTOWN",SAINT PETER'S CHURCH,6008 WAYNE AVENUE,19144,1883,,FURNESS & HEWITTT,YES,NO,YES,NO,NO,NO,PHMC-PAB,PAB,8,UPPER NORTHWEST,COMPLEX,EPISCOPAL,N/A,CHAPEL,1874,,APSE,1898,THEOPHILUS P. CHANDLER,,,,VIOLET OAKLEY,SCHIST,WOOD,CHURCH CLOSED IN 2005; VIOLET OAKLEY WINDOWS REMOVED,,YES,NO,NO,NO,775339000,,ST PETERS EPISCOPAL,CHURCH,239,"6008  WAYNE AVENUE Philadelphia, PA",FOR SALE,,small_green
FRANKFORD PRESBYTERIAN CHURCH,FRANKFORD PRESBYTERIAN CHURCH,4315 FRANKFORD AVENUE,19124,1859,,"JOHN MCARTHUR, JR",YES,NO,NO,NO,NO,NO,PAB,,7,LOWER NORTHEAST,,PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,STUCCO,,,,NO,NO,NO,NO,778150000,,PRESBYTERIAN CHURCH,,294,"4315  FRANKFORD AVENUE Philadelphia, PA",,,small_green
SAINT MARK'S EPISCOPAL CHURCH,SAINT MARK'S EPISCOPAL CHURCH,1607-1627 LOCUST STREET,19103,1852,,JOHN NOTMAN,YES,RITTENHOUSE FITLER,YES,RITTENHOUSE,NO,YES,MOSS,MOSS,2,CENTRAL,,EPISCOPAL,EPISCOPAL,LADY CHAPEL,1902,COPE & STEWARDSON,"PULPIT, CHOIR RAIL AND GATES",1913,RALPH ADAMS CRAM,,,,SAMUEL YELLIN; NICOLA D'ASCENZO; MEYER AND COMPANY; HENRY VAUGHAN; TIFFANY STUDIOS; CHARLES KEMPE; AEOLIAN-SKINNER,BROWNSTONE,SANDSTONE,"ALONG WITH SAINT JAMES THE LESS, THE FIRST EPISCOPAL CHURCHES IN THE PHILADELPHIA AREA DELIBERATELY DESIGNED WITH THE RESTORATION OF THE ANGLO-CATHOLIC FORM OF WORSHIP IN MIND (MOSS 162)",,YES,PSP,NO,NO,772160000,,CHURCH OF ST MARKS,,8,"1607  LOCUST STREET Philadelphia, PA",,,small_green
GRAND LODGE OF PENNSYLVANIA (MASONIC TEMPLE),GRAND LODGE OF PENNSYLVANIA (MASONIC TEMPLE),33 N. BROAD STREET,19107,1873,,JAMES H. WINDRIM,YES,NO,YES,BROAD STREET,YES,YES,PAB,PAB,1,CENTRAL,,FREEMASON,FREEMASON,,,,,,,,,,,,,,,YES,NO,NO,NO,771032200,1 N. BROAD STREET,TRUSTEES OF THE GRAND,,5,"33 N. BROAD STREET Philadelphia, PA",,,small_green
"KENSINGTON ""OLD BRICK"" UNITED METHODIST CHURCH","KENSINGTON ""OLD BRICK"" METHODIST EPISCOPAL CHURCH",300-304 RICHMOND STREET,19125,1853,,UNKNOWN,YES,NO,INELIGIBLE,NO,NO,NO,,,5,CENTRAL,,METHODIST EPISCOPAL,METHODIST,,,,,,,,,,,BRICK,STONE,,,NO,NO,NO,NO,777285000,,KENSINGTON M E CHURCH,,143,"300  RICHMOND STREET Philadelphia, PA",,,small_green
MOTHER AFRICAN ZOAR UNITED METHODIST CHURCH,ZOAR METHODIST CHURCH,654 N. 12TH STREET,19123,1883,,THOMAS P. LONSDALE,YES,NO,NO,NO,NO,NO,COOPERMAN,COOPERMAN,5,CENTRAL,,METHODIST,METHODIST,ALTERATIONS (COOPERMAN),1926,CHARLES GILLMORE,,,,,,,,BRICK,,,,YES,NO,YES,NO,771134100,1204 MELON STREET,ZOAR UNITED METHODIST,CHURCH,132,"654 N. 12TH STREET Philadelphia, PA",,,small_green
DAYCARE?,SAINT PHILIP'S EPISCOPAL CHURCH,1923-1927 LOMBARD STREET,19146,1873,CIRCA,THOMAS EARLY,YES,RITTENHOUSE FITLER,NO,NO,NO,NO,COOPERMAN,COOPERMAN,2,CENTRAL,,EPISCOPAL,ADAPTIVE REUSE,,,,,,,,,,,BRICK,TERRA COTTA,,,NO,NO,YES,YES,882934095,,SEELAUS ANN M,POST EVAN A,12,"1923  LOMBARD STREET Philadelphia, PA",,,small_green
PENNEPACK BAPTIST CHURCH,LOWER DUBLIN BAPTIST CHURCH,8800 KREWSTOWN ROAD,19115,,,,YES,NO,NO,NO,NO,NO,,,10,UPPER FAR NORTHEAST,,BAPTIST,BAPTIST,,,,,,,,,,,,,,,NO,NO,NO,NO,778206000,,PENNYPACK BAPTIST,CHURCH OF LOWER DUBLIN,344,"8800  KREWSTOWN ROAD Philadelphia, PA",,,small_green
RODEPH SHALOM SYNAGOGUE,RODEPH SHALOM SYNAGOGUE,609-617 N. BROAD STREET,19123,1928,,"EDWARD P. SIMON (SIMON AND SIMON, ARCHITECTS)",YES,NO,YES,NO,NO,NO,MOSS,MOSS,5,CENTRAL,,JUDAISM,JUDAISM,,,,,,,,,,D'ASCENZO STUDIOS,LIMESTONE,,,,YES,NO,NO,NO,771064000,,GERMAN HEBREW,CONGREGATION,132,"609 N. BROAD STREET Philadelphia, PA",,,small_green
ROXBOROUGH PRESBYTERIAN CHURCH,ROXBOROUGH REFORMED CHURCH,8230-8236 RIDGE AVENUE,19128,1963,,CHARLES M. TALLEY,YES,NO,NO,NO,NO,NO,,,4,LOWER NORTHWEST,,REFORMED PRESBYTERIAN,PRESBYTERIAN - PC(USA),,,,,,,,,,,SCHIST,WOOD,,,NO,NO,NO,NO,775285000,,ROXBOROUGH PRESBYTERIAN,CHURCH,219,"8230  RIDGE AVENUE Philadelphia, PA",,,small_green
SAINT CLEMENT'S EPISCOPAL CHURCH,SAINT CLEMENT'S EPISCOPAL CHURCH,114-130 N. 20TH STREET,19103,1859,,JOHN NOTMAN,YES,NO,YES,NO,NO,YES,MOSS,MOSS,5,CENTRAL,,EPISCOPAL,EPISCOPAL,PORCH,1864,UNKNOWN,"SECOND LEVEL ARCADE; SANCTUARY EXPANSION; CRYPT CHAPEL; CLERGY HOUSE, ETC.",1897-1933,HORACE WELLS SELLERS,,,,EDWARD MAENE; HENRY BERETTA; ROBERT ROBBINS; SAMUEL YELLIN,BROWNSTONE,,ORIGINAL SPIRE DEEMED UNSAFE AND DEMOLISHED IN 1869; ANGLICIZED IN THE LATE 19TH CENTURY; MOVED 40' WEST IN 1929 WHEN 20TH ST WAS WIDENED (MOSS 168-73),,YES,NO,NO,NO,772296000,2000-2030 CHERRY STREET; 2001-2031 APPLETREE STREET,ST CLEMENTS RECTORY,,3,"114 N. 20TH STREET Philadelphia, PA",,,small_green
OFFICES,CHURCH OF THE NEW JERUSALEM SWEDENBORGIAN CHURCH,2129 CHESTNUT STREET,19103,1883,,"THEOPHILUS P. CHANDLER, JR.",YES,RITTENHOUSE FITLER,NO,NO,NO,NO,MOSS,MOSS,2,CENTRAL,,SWEDENBORGIAN,ADAPTIVE REUSE,ANGEL STAIRCASE,1908,"THEOPHILUS P. CHANDLER, JR.",ADAPTIVE REUSE,1989,MARK B. THOMPSON,,,,,SANDSTONE,BROWNSTONE,,,NO,NO,NO,YES,883036230,,CORPORATE FACILITIES INC,,4,"2129  CHESTNUT STREET Philadelphia, PA",,,small_green
"SAINT LUKE'S EPISCOPAL CHURCH, GERMANTOWN","SAINT LUKE'S EPISCOPAL CHURCH, GERMANTOWN",5419 GERMANTOWN AVENUE,19144,1875,,HENRY M. CONGDON,YES,NO,NO,COLONIAL GERMANTOWN,NO,NO,MOSS,MOSS,8,UPPER NORTHWEST,COMPLEX,EPISCOPAL,EPISCOPAL,TOWER,1892,HENRY M. CONGDON,,,,,,,COPE AND STEWARDSON; GEORGE T. PEARSON; J.H. WHITMAN COMPANY,STONE,SANDSTONE,,,YES,NO,YES,NO,776171000,5419 GERMANTOWN AVENUE,RECTORS OF ST LUKES,,246,"5419  GERMANTOWN AVENUE Philadelphia, PA",,,small_green
"SAINT MARY'S EPISCOPAL CHURCH, HAMILTON VILLAGE",SAINT MARY'S PROTESTANT EPISCOPAL CHURCH,3916-3922 LOCUST WALK,19104,1874,,THOMAS W. RICHARDS,YES,NO,ELIGIBLE,NO,NO,YES,,,3,UNIVERSITY/SOUTHWEST,COMPLEX,EPISCOPAL,EPISCOPAL,CHANCEL; WEST ENTRANCE PORCH; HIGH ALTAR (PAB),1890,CHARLES M. BURNS,TOWER RAISED TO TWO STORIES; SPIRE; PINNACLES (PAB),1907,HERBERT JOHNSON WETHERILL,CLOISTER ADDED; CHANCEL ALTERED (PAB),C. 1910,UNKNOWN,"CLAYTON & BELL; HOLIDAY/HEATON, BUTLER & BAYNE; JOHN & GEORGE H. GIBSON; F.X. ZETTLER",SCHIST,GNEISS,SPIRE REMOVED IN 1973 (PAB),,YES,PSP,NO,NO,773124000,,ST MARY'S EPISCOPAL,CHURCH,8,"3916  LOCUST WALK Philadelphia, PA",,,small_green
NEW JERUSALEM MISSIONARY BAPTIST CHURCH,PARK AVENUE BAPTIST CHURCH (PARK AVENUE M.E. CHURCH IN PAB?),2111-2119 W. DIAMOND STREET,19121,1885,,HAZLEHURST & HUCKEL,YES,DIAMOND STREET,NO,NO,NO,NO,,,5,LOWER NORTH,,BAPTIST,BAPTIST,,,,,,,,,,,STONE,BRICK,,,NO,NO,NO,NO,772119000,,NEW JERUSALEM,BAPTIST CHURCH,152,"2111 W. DIAMOND STREET Philadelphia, PA",,,small_green
SAINT PAUL'S EPISCOPAL CHURCH OF CHESTNUT HILL,SAINT PAUL'S EPISCOPAL CHURCH OF CHESTNUT HILL,22 E. CHESTNUT HILL AVENUE,19118,1929,,"ZANTZINGER, BORIE & MEDARY",YES,NO,NO,CHESTNUT HILL,NO,NO,,,8,UPPER NORTHWEST,,EPISCOPAL,EPISCOPAL,,,,,,,,,,,SCHIST,,,,YES,PSP,NO,NO,775110000,,RECTOR CHURCH WORDEN,CHURCH,227,"22 E. CHESTNUT HILL AVENUE Philadelphia, PA",,,small_green
CHAPEL OF DIVINE LOVE/CONVENT OF DIVINE LOVE,SISTER SERVANTS; SISTERS OF PERPETUAL ADORATION,2206-2216 GREEN STREET,19130,1914,CIRCA,PAUL MONAGHAN,YES,SPRING GARDEN,NO,NO,NO,NO,PAB REF,PAB,5,CENTRAL,,ROMAN CATHOLIC,ROMAN CATHOLIC,,,,,,,,,,,GNEISS,,,,NO,NO,NO,NO,772146000,,DENNIS J DOUGHERTY,,134,"2206  GREEN STREET Philadelphia, PA",,,small_green
"SAINT TIMOTHY'S EPISCOPAL CHURCH, ROXBOROUGH",SAINT TIMOTHY'S EPISCOPAL CHURCH,5712 RIDGE AVENUE,19128,1863,,EMLEN T. LITTELL,YES,NO,NO,NO,NO,YES,MOSS,MOSS,4,LOWER NORTHWEST,COMPLEX,EPISCOPAL,EPISCOPAL,INTERIOR DECORATION (1869); NORTHEAST TOWER (1871); BAPTISTRY (1874); LYCH GATE AND CHURCHYARD WALL (1882),1869-74,CHARLES M. BURNS,LANTERN TOWER; CHOIR EXTENSION,1886,EMLEN T. LITTELL,,,,,,,,,YES,NO,NO,NO,775280000,,ST TIMOTHY<S CHURCH,EPISCOPAL,210,"5712  RIDGE AVENUE Philadelphia, PA",,,small_green
SAINT VINCENT DE PAUL CHURCH,SAINT VINCENT DE PAUL CHURCH,101-123 E. PRICE STREET,19144,1851,,JOSEPH D. KOECKER,YES,NO,NO,NO,NO,YES,MOSS,MOSS,8,UPPER NORTHWEST,COMPLEX,ROMAN CATHOLIC,ROMAN CATHOLIC,DOME AND TRANSEPTS,1859,UNKNOWN,VESTIBULE AND FRONTISPIECE (WITH SCULPTURE),1901,ARNOLD & LOCKE,,,,,CAST STONE,STUCCO,,,YES,NO,NO,NO,775267000,,MISSION OF ST VINCENT,DE PAUL,246,"101 E. PRICE STREET Philadelphia, PA",,,small_green
MOUNT TABOR AFRICAN METHODIST EPISCOPAL CHURCH,SECOND BAPTIST CHURCH,961-971 N. 7TH STREET,19123,1873,,ADDISON HUTTON,YES,NO,NO,NO,NO,NO,,COOPERMAN,5,LOWER NORTH,,BAPTIST,AFRICAN METHODIST EPISCOPAL,,,,,,,,,,,BROWNSTONE,,,,NO,NO,YES,YES,771232000,,MT TABOR AFRICAN,METHODIST EPISCOPAL CHRCH,141,"961 N. 7TH STREET Philadelphia, PA",,,small_green
